영화ID,OTT 플랫폼,제공 방식,대여 가격,소장 가격
M001,넷플릭스,구독,,
M001,티빙,구독,,
M001,웨이브,구독,,
M001,왓챠,구독,,
M001,왓챠,대여,2750,
M001,애플tv+,대여,3000,
M001,왓챠,소장,,7150
M001,애플tv+,소장,,7500
M002,넷플릭스,구독,,
M002,티빙,구독,,
M002,웨이브,구독,,
M002,왓챠,구독,,
M002,디즈니+,구독,,
M002,쿠팡플레이,구독,,
M003,넷플릭스,구독,,
M003,티빙,구독,,
M003,웨이브,구독,,
M003,왓챠,구독,,
M003,쿠팡플레이,구독,,
M003,웨이브,대여,1800,
M003,왓챠,대여,1540,
M003,왓챠,소장,,3850
M004,넷플릭스,구독,,
M004,티빙,구독,,
M004,웨이브,구독,,
M004,왓챠,구독,,
M004,왓챠,대여,2750,
M004,왓챠,소장,,7150
M005,넷플릭스,구독,,
M005,웨이브,대여,1200,
M006,넷플릭스,구독,,
M006,티빙,구독,,
M006,웨이브,구독,,
M006,왓챠,구독,,
M006,왓챠,대여,2750,
M006,왓챠,소장,,7150
M007,넷플릭스,구독,,
M007,쿠팡플레이,구독,,
M007,디즈니+,구독,,
M008,디즈니+,구독,,
M008,쿠팡플레이,구독,,
M008,웨이브,소장,,5500
M009,넷플릭스,구독,,
M009,티빙,구독,,
M009,웨이브,구독,,
M009,왓챠,구독,,
M009,왓챠,대여,2750,
M009,왓챠,소장,,7150
M010,넷플릭스,구독,,
M010,티빙,구독,,
M010,웨이브,구독,,
M011,넷플릭스,구독,,
M011,왓챠,대여,2750,
M011,웨이브,대여,2750,
M011,쿠팡플레이,대여,2750,
M011,애플tv+,대여,2500,
M011,웨이브,소장,,7150
M011,왓챠,소장,,7150
M011,쿠팡플레이,소장,,7150
M011,애플tv+,소장,,6500
M012,넷플릭스,구독,,
M013,넷플릭스,구독,,
M013,티빙,구독,,
M013,웨이브,구독,,
M013,왓챠,구독,,
M013,왓챠,대여,2750,
M013,왓챠,소장,,7150
